production_budget_usd,worldwide_gross_usd
1000000.00,26.00
10000.00,401.00
400000.00,423.00
750000.00,450.00
10000.00,527.00
1800000.00,673.00
1000000.00,703.00
6600000.00,828.00
1000000.00,884.00
7000.00,900.00
2000000.00,926.00
1000000.00,1036.00
700000.00,1160.00
200000.00,1217.00
9000000.00,1242.00
12000.00,1336.00
5000.00,1338.00
100000.00,1358.00
1400000.00,1632.00
300000.00,1711.00
500000.00,1778.00
500000.00,1822.00
10000.00,1987.00
1500000.00,2105.00
5000000.00,2199.00
9000000.00,2243.00
2000000.00,2436.00
175000.00,2602.00
1100000.00,2636.00
6500000.00,3149.00
3380000.00,3220.00
250000.00,3234.00
850000.00,3256.00
1600000.00,3264.00
600000.00,3301.00
2100000.00,3330.00
15000000.00,3471.00
300000.00,3496.00
27000.00,3547.00
40000.00,3632.00
200000.00,3648.00
1000000.00,3700.00
560000.00,3709.00
500000.00,4134.00
1200000.00,4254.00
4000000.00,4327.00
9000.00,4584.00
3000000.00,4655.00
15000000.00,4892.00
60000.00,4917.00
70000.00,4930.00
26000000.00,5000.00
3000000.00,5073.00
2000000.00,5361.00
1000000.00,5382.00
1000000.00,5494.00
150000.00,5858.00
200000.00,6260.00
18000000.00,6784.00
1000000.00,6870.00
200000.00,7033.00
150000.00,7193.00
900000.00,7396.00
240000.00,7484.00
5000000.00,7556.00
3250000.00,7680.00
1200000.00,7826.00
500000.00,7890.00
600000.00,7943.00
989000.00,8158.00
27000.00,8231.00
5000000.00,8297.00
50000.00,8374.00
560000.00,8462.00
70000.00,8555.00
75000.00,8799.00
10000000.00,9069.00
550000.00,9111.00
350000.00,9118.00
2500000.00,9598.00
30000.00,9812.00
1000000.00,9837.00
3500000.00,9871.00
2000000.00,10024.00
700000.00,10508.00
300000.00,10514.00
2000000.00,10679.00
300000.00,10876.00
35000000.00,11106.00
1000000.00,11574.00
4500000.00,11774.00
10000000.00,11894.00
500000.00,12232.00
4000000.00,12302.00
1900000.00,12444.00
425000.00,12604.00
3400000.00,12636.00
2000000.00,12667.00
4000000.00,12836.00
250000.00,12848.00
1000000.00,12996.00
500000.00,13134.00
